                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85201,                 1.4015,                0.96258,                0.86327,                0.84495,                0.87136,                0.71427,                0.64445,                0.48622,                0.86079,               0.070349,              0.0032946,              0.0032946
                      1,                0.68578,                0.51626,                0.87651,                 0.9119,                0.89831,                0.93988,                0.74191,                0.68845,                0.47449,                0.86861,               0.039693,              0.0059717,              0.0059717
                      2,                0.68758,                0.48261,                0.86914,                0.96142,                0.93448,                0.96304,                0.76528,                0.58357,                0.53352,                0.84788,              0.0083765,              0.0079889,              0.0079889
                      3,                0.65437,                 0.4287,                 0.8602,                0.97504,                 0.9609,                0.98243,                0.79923,                0.56756,                0.39778,                0.83978,                0.00703,                0.00703,                0.00703
                      4,                0.61653,                0.40094,                 0.8512,                0.98239,                 0.9663,                0.98627,                0.79843,                0.55617,                0.34822,                0.83594,                0.00703,                0.00703,                0.00703
                      5,                0.57347,                0.36393,                0.83889,                0.99114,                 0.9787,                0.98903,                0.82325,                0.49816,                 0.3272,                0.82614,                0.00604,                0.00604,                0.00604
                      6,                 0.5265,                0.33737,                0.82911,                  0.989,                0.97818,                0.99279,                0.84582,                0.44903,                 0.2942,                0.81522,                0.00505,                0.00505,                0.00505
                      7,                0.48983,                0.32091,                0.82169,                0.99449,                0.98266,                0.99406,                0.85233,                0.43369,                 0.2892,                0.81595,                0.00406,                0.00406,                0.00406
                      8,                0.45823,                 0.3029,                0.81326,                0.99286,                0.98649,                 0.9928,                0.86305,                0.41434,                 0.2759,                0.81023,                0.00307,                0.00307,                0.00307
                      9,                 0.4352,                0.27901,                0.80981,                0.99097,                0.98589,                0.99273,                0.87411,                0.38737,                 0.2463,                0.80346,                0.00208,                0.00208,                0.00208
